origin-time-utc,mag,mag-type,latitude,longitude,depth(km),region,a/m,time-updated,kml
07/02/2023 18:38,3.5,MLv,38.1693° N,37.8891° E,0,Dogansehir-Malatya,A,07/02/2023 18:42,Stations Event
07/02/2023 18:36,3.1,MLv,38.1894° N,36.9388° E,0,Afsin-Kahramanmaras,A,07/02/2023 18:39,Stations Event
07/02/2023 18:09,5,MLv,38.0795° N,36.6257° E,0,Goksun-Kahramanmaras,A,07/02/2023 18:13,Stations Event
07/02/2023 18:06,3.5,MLv,38.0008° N,36.4700° E,0,Goksun-Kahramanmaras,A,07/02/2023 18:16,Stations Event
07/02/2023 17:46,4.1,MLv,38.0914° N,36.8573° E,0,Goksun-Kahramanmaras,A,07/02/2023 17:51,Stations Event
07/02/2023 17:37,4.1,MLv,37.9843° N,37.6968° E,0,Dogansehir-Malatya,A,07/02/2023 17:42,Stations Event
07/02/2023 17:32,3.2,MLv,38.1308° N,36.4334° E,0,Goksun-Kahramanmaras,A,07/02/2023 17:35,Stations Event
07/02/2023 16:30,4.3,MLv,38.1647° N,37.3993° E,0,Elbistan-Kahramanmaras,A,07/02/2023 16:34,Stations Event
07/02/2023 16:28,3.8,MLv,36.0425° N,36.1450° E,35,Merkez-Hatay,A,07/02/2023 16:32,Stations Event
07/02/2023 16:24,3.2,MLv,37.5861° N,37.3773° E,1,Pazarcik-Kahramanmaras,A,07/02/2023 16:27,Stations Event
07/02/2023 15:48,5.4,MLv,37.0184° N,36.8024° E,0,islahiye-Gaziantep,A,07/02/2023 15:52,Stations Event
07/02/2023 15:31,5,MLv,37.3041° N,37.1393° E,0,Pazarcik-Kahramanmaras,A,07/02/2023 15:36,Stations Event
07/02/2023 14:44,3.2,MLv,37.9285° N,38.3459° E,19,Merkez-Adiyaman,A,07/02/2023 14:48,Stations Event
07/02/2023 13:56,4.1,MLv,36.3593° N,36.1981° E,0,Merkez-Hatay,A,07/02/2023 14:04,Stations Event
07/02/2023 13:36,4.6,MLv,36.1267° N,35.8337° E,12,Turkey,A,07/02/2023 14:35,Stations Event
07/02/2023 13:34,4,MLv,38.1363° N,36.6055° E,0,Goksun-Kahramanmaras,A,07/02/2023 13:38,Stations Event
07/02/2023 13:08,3.2,MLv,38.1118° N,36.7435° E,5,Goksun-Kahramanmaras,A,07/02/2023 13:12,Stations Event
07/02/2023 13:01,3.6,MLv,37.8781° N,36.6660° E,0,Merkez-Kahramanmaras,A,07/02/2023 13:04,Stations Event
07/02/2023 12:53,3.8,MLv,37.9926° N,38.4393° E,15,Sincik-Adiyaman,A,07/02/2023 12:56,Stations Event
07/02/2023 12:43,4.3,MLv,38.1912° N,37.9935° E,0,Dogansehir-Malatya,A,07/02/2023 12:46,Stations Event
07/02/2023 12:41,4,MLv,38.1317° N,37.9340° E,0,Dogansehir-Malatya,A,07/02/2023 12:45,Stations Event
07/02/2023 12:27,3.4,MLv,38.1107° N,36.6000° E,0,Goksun-Kahramanmaras,A,07/02/2023 12:30,Stations Event
